"group","ideal_point","std_error","lower_ci","upper_ci"
"natl african american gun assn",-0.264466987253647,0.111737785335899,-0.48347304651201,-0.0454609279952852
"palmetto promise inst",-0.264398498102559,0.0942471749601589,-0.44912296102447,-0.0796740351806476
"due process inst",-0.264229573410393,0.142208644266618,-0.542958516172965,0.0144993693521787
"anglicans for life",-0.261539925799017,0.107096777545782,-0.471449609788749,-0.0516302418092849
"owners’ counsel of america",-0.259398771244148,0.117359245696382,-0.489422892809058,-0.0293746496792391
"california apartment assn",-0.258438534334087,0.117775568763794,-0.489278649111123,-0.027598419557051
"intl law enforcement educators and trainers assn",-0.258001608316308,0.104247938668579,-0.462327568106724,-0.0536756485258923
"assn of american railroads",-0.255031056015608,0.105148943487307,-0.461122985250729,-0.0489391267804869
"mortgage bankers assn",-0.251382283199931,0.13984887368261,-0.525486075617846,0.0227215092179833
"maryland family inst",-0.246314346415809,0.0996044307582772,-0.441539030702032,-0.0510896621295859
"jews for the preservation of firearms ownership",-0.242474182017194,0.107748039894904,-0.453660340211205,-0.0312880238231834
"men for life",-0.241336403143253,0.109981769921223,-0.45690067218885,-0.0257721340976552
"natl assn of home builders",-0.241295440813424,0.115034656593703,-0.466763367737082,-0.0158275138897654
"upper midwest law ctr",-0.238571582555611,0.102859933968352,-0.440177053133581,-0.0369661119776401
"associated general contractors of america",-0.238298834735062,0.108154929043362,-0.450282495660052,-0.0263151738100725
"consumer bankers assn",-0.237115767831145,0.13548679357969,-0.502669883247336,0.028438347585047
"san francisco apartment assn",-0.232977395452353,0.11879042208266,-0.465806622734367,-0.000148168170339302
"mountain states legal fdn’s ctr to keep and bear arms",-0.232867640858389,0.115044258580225,-0.458354387675629,-0.00738089404114889
"jewish coalition for religious liberty",-0.232328991564354,0.125816682192774,-0.47892968866219,0.0142717055334828
"american benefits council",-0.23105063027144,0.101140700187606,-0.429286402639149,-0.0328148579037317
"mastercard",-0.231026701447858,0.14166035230847,-0.50868099197246,0.0466275890767438
"linkedin corporation",-0.231026642542491,0.145988772321467,-0.517164636292566,0.0551113512075843
"constitution party natl comm",-0.229799410027926,0.120527329210276,-0.466032975280068,0.00643415522421498
"zionist org of america",-0.228337553931542,0.0904129004816094,-0.405546838875497,-0.0511282689875881
"american gas assn",-0.223397055090527,0.114722501033847,-0.448253157116867,0.00145904693581222
"americans united for life",-0.221878354946866,0.117601330129831,-0.452376962001335,0.00862025210760231
"idaho freedom fdn",-0.221467104577482,0.10256504517848,-0.422494593127303,-0.0204396160276605
"civil justice assn of california",-0.221084078691711,0.107291251976648,-0.43137493256594,-0.0107932248174819
"beacon ctr of tennessee",-0.219324591363511,0.120396834339145,-0.455302386668236,0.0166532039412133
"american financial services assn",-0.217266290640975,0.129714749400505,-0.471507199465965,0.036974618184015
"tea party patriots action",-0.213572815452808,0.114940545376262,-0.438856284390281,0.0117106534846654
"american target advertising",-0.212526405710943,0.103710710634334,-0.415799398554237,-0.00925341286764919
"intl assn of defense counsel",-0.211032795442975,0.110974289872447,-0.428542403592972,0.00647681270702202
"fdn for individual rights in education",-0.205575220629928,0.109095712698584,-0.419402817519152,0.00825237625929548
"rhode island ctr for freedom and prosperity",-0.204325323502864,0.0961595333255975,-0.392798008821035,-0.0158526381846931
"computer and communications industry assn",-0.20395624848441,0.133442830086396,-0.465504195453747,0.0575916984849266
"clare boothe luce ctr for conservative women",-0.20378464463908,0.102462415799341,-0.404610979605788,-0.00295830967237107
"small property owners of san francisco inst",-0.203538088016776,0.118318958636412,-0.435443246944143,0.0283670709105921
"natl cattlemen’s beef assn",-0.203165195947022,0.115674385936705,-0.429886992382963,0.0235566004889192
"council for christian colleges and universities",-0.201374373949846,0.0751635354184365,-0.348694903369982,-0.0540538445297105
"ctia-the wireless assn",-0.200866464573931,0.114192881477612,-0.42468451227005,0.0229515831221886
"natl assn of parents d/b/a parentsusa",-0.200382622724121,0.105442582854265,-0.407050085118481,0.0062848396702396
"becket fund for religious liberty",-0.199903401525564,0.113124451201729,-0.421627325880953,0.0218205228298261
