"case","year","difficulty","discrimination"
"19_439",19,0.343130292510707,-1.84188760837218
"20_812",20,0.591967061886798,-1.7277117795912
"22_131",22,0.421701517844155,-0.93371393058572
"20_979",20,0.683643615565876,1.22547992907528
"23_1002",23,0.498604450544446,-0.447852787685132
"23_411",23,-1.14570210516661,3.22236695394575
"21_378",21,-0.988500382469644,-0.757097217595622
"22_174",22,0.823378653878422,-3.39785942083481
"18_481",18,-0.4975403229175,-2.42543806879834
"21_1143",21,0.451010662507569,-1.30252269034329
"19_670",19,0.322916047931294,-1.75143396702714
"21_348",21,0.443723954843448,-1.24156714825462
"22_816",22,0.741451910923768,-2.80411270355841
"18_1023",18,0.317239217979722,0.891587925574141
"20_37",20,-1.00489769468696,-3.33008365899343
"23_334",23,-0.748478713041749,-1.85185602919832
"18_609",18,0.326037807640378,-1.62387147621507
"20_579",20,0.37060337087123,-1.30420426418127
"21_1084",21,0.388856680323537,-1.70103761790286
"18_1539",18,0.312364381757857,-1.70475394361244
"23_947",23,0.440442221701765,-1.63524104539872
"19_968",19,0.65655123193127,-2.16789644973039
"18_307",18,0.236335817291946,-1.68502838402801
"18_315",18,0.108851854055363,-1.63781171937118
"20_5579",20,0.434758474991561,-1.03217160934827
"21_309",21,0.176189218321174,-1.67597756314354
"20_1374",20,0.26855256444013,-1.04376106179423
"23_367",23,0.301538181940236,-2.20286378188367
"24_151",24,0.627917001437919,-1.21482239506306
"18_719",18,0.471882028584757,-1.93367906724607
"21_429",21,-0.591127569956166,-0.873174384610487
"18_900",18,0.459181766661922,-1.77082231031201
"19_1039",19,-0.0784104339636097,-1.48644519879298
"22_1095",22,0.691994409400765,-1.67329767657771
"23_975",23,0.802970978371417,-1.79622823795585
"22_148",22,0.0393432847747274,-0.805842353322704
"20_659",20,0.391337435812179,-1.15780880525332
"18_1460",18,-0.477386349409794,0.158700707260439
"20_1163",20,0.552195335770168,-2.17083819285497
"22_807",22,-0.288510744368276,-2.59486203653544
"20_1334",20,0.606511724297517,-1.77481165102567
"22_393",22,0.79683471368979,-0.532799054151263
"19_255",19,1.41840854136192,-3.25445174846632
"20_1474",20,0.509991054619929,0.189105470823683
"20_510",20,0.297034550605634,-1.43746093379419
"18_212",18,0.399359185316172,-1.13910809059525
"21_12",21,-0.849306708741663,-0.51080853534501
"20_440",20,-0.377000352837481,0.269059302830929
"23_1137",23,0.746300722030887,-2.89407339840484
"22_535",22,-0.216525127846042,2.93744335250947
"19_1388",19,0.879840352446225,-0.395917369848469
"20_1410",20,0.331505961516829,-0.245074505998212
"20_366",20,-0.652246495038079,-2.85132574744049
"24_410",24,0.582666290793195,-2.36875268792678
"23_1141",23,0.671692493956068,-1.46441770672147
"20_219",20,-0.486079867130405,1.01161020525169
"18_801",18,-0.589222162783331,-0.283167592586789
"21_887",21,0.288895239798588,0.607750865209392
"20_1029",20,-0.0987924414207727,2.67703158664803
"24_539",24,0.534324628465481,-1.76670869064409
"22_1025",22,0.477985006235365,-1.41297982898629
"24_587",24,0.58529388605325,-0.257808721802036
"24_373",24,0.544111680729496,-2.04613873307711
"18_106",18,0.484295392532875,-0.609386573565111
"21_806",21,-0.599045338210712,-1.71533130075352
"19_1414",19,0.159014121763823,0.303458918248689
"18_483",18,0.692804742803684,-2.41896123016587
"18_1587",18,0.0592226759248461,-1.63910208137972
"18_96",18,0.237523146273237,2.10636386703057
"21_1100",21,0.433129442591911,-1.62525762656588
"23_807",23,0.453478137376541,-1.26199000312696
"23_1231",23,0.573505240336324,-0.0283656443849176
"18_573",18,0.216281930320197,-1.57918131558797
"22_349",22,0.406082801245071,-1.13279971146101
"19_369",19,0.0369749604152826,-1.40422039879862
"22_111",22,-0.586098804911981,1.1955917610086
"22_915",22,0.279120635987523,4.55328217767954
"23_952",23,0.393580113278245,-1.57701765649023
"23_1239",23,0.42310688710408,0.806728179973979
"19_296",19,0.416505101890657,-1.73139624173339
"21_757",21,-0.552160930688908,0.777976992898648
"19_783",19,0.808056034130519,-0.118791043343356
"23_1275",23,0.686145410177112,-2.295510088719
"20_216",20,0.480336117259654,1.56070970314239
"24_156",24,0.771422791148788,-2.96781825145557
"21_846",21,0.441327883442613,0.979471508964407
"22_30",22,0.373707970713711,-1.34108852490979
"23_175",23,-0.54495840962815,-2.26526683540444
"18_1038",18,0.319298644071308,0.892003299251564
"20_257",20,0.423072656716586,-1.38839317745734
"22_859",22,-0.575558535931695,3.22107662405119
"23_179",23,0.563520222214757,-1.75641717336882
"18_540",18,-0.399993821609454,0.495312235797562
"19_546",19,-0.4910385150494,-0.173590756062537
"19_832",19,0.824755418904264,1.0418278190435
"19_1418",19,0.475702212364338,-1.2139759842116
"23_1323",23,0.688118899634644,-2.81477547605872
"20_982",20,0.628230311040569,0.594744922615157
"21_144",21,0.523420442090656,-1.60253276740527
"23_365",23,0.244043407201229,-1.7956133910987
"23_124",23,-0.442424907059178,1.24905144291838
"20_1639",20,0.484387477784483,-1.81498084826092
"20_782",20,0.537705869311532,-1.70748898637689
"21_537",21,0.262783573396662,-1.70055905332429
"23_1280",23,0.982142832272612,-3.24048944756182
"23_178",23,0.493489210968852,0.211575637269978
"22_592",22,-1.13258157256168,-1.72842775505282
"21_187",21,0.530036402891883,-0.794336111639819
"19_453",19,-0.195941670566999,-2.39348218997682
"20_1507",20,0.432564566720158,-1.03138399963775
"19_5807",19,0.803282457746011,0.278512797538913
"18_1584",18,0.0576184931359313,-1.64044658530342
"24_154",24,0.771346826876177,-1.5863086769485
"21_869",21,-0.509425336018136,0.533598647371997
"22_1074",22,0.0305167833283763,-3.24347329271426
"19_930",19,0.458831348158711,-1.52660226245143
"21_264",21,0.492499349595114,-0.35618341550839
"18_86",18,0.443705424622812,-1.62900978581895
"22_95",22,0.459828985505621,-1.55807860593185
"20_1599",20,0.421076222675257,1.16661475360339
"18_9526",18,0.336913235728632,0.14198552832777
"19_1257",19,-0.720785617470808,-4.23634328361064
"20_828",20,-1.0254512027846,0.0452738004529843
"24_449",24,0.339615788314895,-1.63810462583451
"20_843",20,0.0681164978266105,-5.25055431493163
"21_1550",21,0.322177020865839,-1.56055944956545
"23_785",23,0.462794928974074,-1.2410928989522
"21_954",21,0.905635205583154,2.99551925775765
"21_147",21,-0.892199148059004,-0.808858865061517
"18_1455",18,0.706592405773646,-2.1886474812782
"24_361",24,0.459198534519749,-2.01127299645422
"20_915",20,-0.270485856695681,-0.060698236407704
"24_90",24,0.551144560040012,-1.96801007403034
"18_349",18,0.753067742205559,-1.35011852636
"18_547",18,0.570886036800008,-2.41798929756157
"24_110",24,-0.540981706306015,0.0638376235108631
"21_972",21,0.599365800501056,-0.851246408445342
"24_291",24,1.02469951481166,-1.02838555134131
"19_631",19,-0.197496062560386,2.32337851211193
"22_52",22,0.341834059146688,-1.5822795538939
"20_1212",20,0.295882086754116,-1.49293806064742
"22_166",22,0.837169332741075,-1.40057591604696
"21_1017",21,0.642853522900986,-1.88307254454641
"20_637",20,0.618131280475935,0.746392177715242
"18_1293",18,0.368989091675933,-1.5547215732416
"18_1173",18,1.23920491378294,-0.981735518004438
"20_1066",20,0.38964272442885,-1.4873362554413
"20_427",20,0.458419481985764,1.25508227087857
"19_767",19,0.543055361842518,-2.04933942261527
"23_621",23,-1.31762590233718,1.2567716721991
"18_1287",18,0.915421215603344,-0.394881365373293
"22_611",22,-0.15619812694218,0.17818251692648
"17_1618",17,-0.885108411857556,-0.713288017922975
"22_899",22,0.0909832625454855,0.625628918822984
"21_1449",21,0.272961726868871,-2.35070792511609
"18_837",18,0.379864529444406,-1.37401343387363
"23_1007",23,-0.162306115168373,1.71744408359151
"19_123",19,-0.704173848951903,-6.31328793676873
"23_1189",23,0.42348502710943,-1.70691209736668
"20_1501",20,0.59117035627005,-1.60140062489555
"19_831",19,0.929891641162996,-1.14808460894419
